group_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,group_type,procedure,accuracy_median,accuracy_mean,accuracy_calculated
100000001,17,5,0.55,0.2,100,restricted_70,aggregation,0.7244446892590573,0.7244446892590573,0.7257181844672075
100000001,17,5,0.55,0.2,100,restricted_80,aggregation,0.7310246724255478,0.7310251116888726,0.732241833900609
100000001,17,5,0.55,0.2,100,restricted_90,aggregation,0.737704031895964,0.7377040318959641,0.7386690754146551
100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,0.8029616073566249,0.802961607356625
100000001,17,5,0.6,0.2,100,restricted_10,aggregation,0.802961607356625,0.8029616073566249,0.8031142530195893
100000001,17,5,0.6,0.2,100,restricted_20,aggregation,0.8127643758495807,0.8127643335827662,0.8133099330662925
100000001,17,5,0.6,0.2,100,restricted_30,aggregation,0.8233077346414444,0.8233077346414445,0.8239688970064292
100000001,17,5,0.6,0.2,100,restricted_40,aggregation,0.8291465388772208,0.8291465388772208,0.8296996518949279
100000001,17,5,0.6,0.2,100,restricted_50,aggregation,0.8332858211148197,0.8332861241174662,0.8338274695322313
100000001,17,5,0.6,0.2,100,restricted_60,aggregation,0.8367190170048497,0.8367190170048499,0.8372102505525407
100000001,17,5,0.6,0.2,100,restricted_70,aggregation,0.8393349745999935,0.8393349745999934,0.8397743577851076
100000001,17,5,0.6,0.2,100,restricted_80,aggregation,0.8411365361661504,0.8411354315921451,0.8413127664161592
100000001,17,5,0.6,0.2,100,restricted_90,aggregation,0.8413047497648974,0.8413047497648976,0.8410027252032397
100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378728,0.9025750441378729,0.9025750441378727
100000001,17,5,0.65,0.2,100,restricted_10,aggregation,0.9025750441378728,0.9025750441378729,0.9026691153036474
100000001,17,5,0.65,0.2,100,restricted_20,aggregation,0.9083094761049972,0.9083145653013857,0.9086291173461007
100000001,17,5,0.65,0.2,100,restricted_30,aggregation,0.914109718339437,0.9141097183394371,0.9144427916565956
100000001,17,5,0.65,0.2,100,restricted_40,aggregation,0.9169793338051068,0.9169793338051068,0.9172407506567687
100000001,17,5,0.65,0.2,100,restricted_50,aggregation,0.918750314665068,0.9187499459416755,0.918955414497411
100000001,17,5,0.65,0.2,100,restricted_60,aggregation,0.9198265033629148,0.9198265033629148,0.9199421282531082
100000001,17,5,0.65,0.2,100,restricted_70,aggregation,0.9201269478222538,0.9201269478222538,0.9200769116513179
100000001,17,5,0.65,0.2,100,restricted_80,aggregation,0.9193709487932996,0.919370498212688,0.9190507661596834
100000001,17,5,0.65,0.2,100,restricted_90,aggregation,0.9164999719760256,0.9164999719760256,0.9156547734132332
