,group_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,group_type,procedure,accuracy,precision,diversity,average
0,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5936894220671305
1,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5941370110136778
2,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5925921749392584
3,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5927963380832132
4,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5933784412423996
5,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5907732967803803
6,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5938677463046215
7,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5926187952633788
8,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5942453714803717
9,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.594415124196791
10,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5935902021049939
11,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5953120657274825
12,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5926429555783723
13,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5940056907058991
14,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5934267500555002
15,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.595560798969549
16,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5927358512860597
17,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5942662740962742
18,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.593712284413118
19,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5920393640387392
20,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5941294453000704
21,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5941579149862484
22,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5930604586617088
23,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5934004433529435
24,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5933504589546257
25,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.593726482460441
26,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5948800178833513
27,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5947987987937989
28,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5919838098090182
29,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5920066666204168
30,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5933215057627559
31,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.59481208818188
32,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5930391890516892
33,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.591982289184581
34,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5932926033148951
35,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5925018325655826
36,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5932619037058621
37,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.592862821784697
38,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5926576250370001
39,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.595732228519937
40,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5956768167943169
41,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.591285661159828
42,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.591415078902579
43,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5959333641512811
44,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.593681064205856
45,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5942030315826151
46,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5929486223884141
47,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5941374482770316
48,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5942520613799782
49,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5940250838821672
50,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5930982737247322
51,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5932904350741852
52,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5940384837230671
53,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5936048073993909
54,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.591939685260727
55,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5928769107127442
56,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5935147059807477
57,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5963976349653434
58,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5941224892006144
59,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5950563238767407
60,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5934553794045462
61,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5933642498396666
62,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5926652678648512
63,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5940715136175554
64,1001,13,5,0.55,0.2,1000,diverse,aggregation,0.6448371411422178,,,0.5924583037101788
