,group_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,group_type,procedure,accuracy,precision,diversity,average
0,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6826176076161493
1,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6806535307901975
2,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6812957020679938
3,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.682976868602077
4,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6845371795180129
5,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6821993837412588
6,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6817584368255202
7,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6832724406149406
8,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6842056463906464
9,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6835754085729085
10,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6810667654953071
11,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6823081965411132
12,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6824626361370111
13,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6826214698418864
14,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6836168143276476
15,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6833467220742221
16,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6835690810192894
17,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.685727608579692
18,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6827315512342597
19,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6832524944962444
20,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6808351664230832
21,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6827327475071225
22,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6824514247172581
23,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6828703642036975
24,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6808536763853431
25,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.682278470025345
26,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6810031000635166
27,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6823520882589633
28,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6842913398946732
29,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6825876110617778
30,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6837975969786386
31,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6847022845518679
32,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6813426083407333
33,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6821699583518332
34,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6839074619439204
35,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6840272665914332
36,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6838596654271655
37,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6815105503370086
38,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6824530349126183
39,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6821760360010359
40,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6849317835636586
41,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6850892011769094
42,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6829031454887704
43,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6848078175451092
44,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6835488456759291
45,1001,13,5,0.6,0.2,1000,diverse,aggregation,0.773033226853774,,,0.6820071182983684
