,group_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,group_type,procedure,accuracy,precision,diversity,average
0,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
1,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
2,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
3,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
4,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
5,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
6,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
7,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
8,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
9,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
10,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
11,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
12,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
13,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
14,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
15,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
16,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
17,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
18,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
19,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
20,100000001,17,5,0.65,0.2,100,diverse,aggregation,0.9025750441378727,,,0.7653112658691407
