,group_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,group_type,procedure,accuracy,precision,diversity,average
0,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
1,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
2,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
3,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
4,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
5,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
6,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
7,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
8,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
9,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
10,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
11,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
12,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
13,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
14,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
15,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
16,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
17,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
18,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
19,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
20,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
21,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
22,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
23,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
24,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
25,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
26,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
27,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
28,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
29,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
30,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
31,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
32,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
33,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
34,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
35,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
36,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
37,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
38,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
39,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
40,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
41,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
42,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
43,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
44,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
45,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
46,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
47,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
48,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
49,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
50,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
51,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
52,100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,,,0.7654956250000001
