,group_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,group_type,procedure,accuracy,precision,diversity,average
0,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
1,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
2,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
3,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
4,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
5,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
6,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
7,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
8,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
9,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
10,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
11,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
12,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
13,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
14,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
15,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
16,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
17,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
18,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
19,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
20,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
21,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
22,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
23,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
24,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
25,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
26,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
27,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
28,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
29,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
30,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
31,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
32,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
33,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
34,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
35,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
36,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
37,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
38,100000001,17,5,0.6,0.2,100,diverse,aggregation,0.802961607356625,,,0.6828980053710938
