,group_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,group_type,procedure,accuracy,precision,diversity,average
0,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
1,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
2,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
3,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
4,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
5,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
6,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
7,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
8,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
9,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
10,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
11,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
12,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
13,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
14,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
15,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
16,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
17,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
18,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
19,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
20,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
21,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
22,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
23,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
24,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
25,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
26,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
27,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
28,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
29,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
30,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
31,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
32,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
33,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
34,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
35,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
36,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
37,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
38,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
39,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
40,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
41,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
42,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
43,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
44,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
45,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
46,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
47,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
48,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
49,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
50,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
51,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
52,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
53,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
54,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
55,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
56,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
57,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
58,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
59,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
60,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
61,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
62,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
63,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
64,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
65,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
66,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
67,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
68,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
69,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
70,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
71,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
72,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
73,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
74,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
75,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
76,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
77,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
78,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
79,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
80,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
81,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
82,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
83,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
84,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
85,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
86,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
87,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
88,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
89,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
90,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
91,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
92,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
93,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
94,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
95,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
96,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
97,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
98,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
99,100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,,,0.6830276388888888
