,group_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,group_type,procedure,accuracy,precision,diversity,average
0,100000001,17,5,0.6,0.2,10,diverse,aggregation,0.802961607356625,,,0.6828980053710938
1,100000001,17,5,0.6,0.2,10,diverse,aggregation,0.802961607356625,,,0.6828980053710938
2,100000001,17,5,0.6,0.2,10,diverse,aggregation,0.802961607356625,,,0.6828980053710938
3,100000001,17,5,0.6,0.2,10,diverse,aggregation,0.802961607356625,,,0.6828980053710938
4,100000001,17,5,0.6,0.2,10,diverse,aggregation,0.802961607356625,,,0.6828980053710938
5,100000001,17,5,0.6,0.2,10,diverse,aggregation,0.802961607356625,,,0.6828980053710938
6,100000001,17,5,0.6,0.2,10,diverse,aggregation,0.802961607356625,,,0.6828980053710938
7,100000001,17,5,0.6,0.2,10,diverse,aggregation,0.802961607356625,,,0.6828980053710938
8,100000001,17,5,0.6,0.2,10,diverse,aggregation,0.802961607356625,,,0.6828980053710938
9,100000001,17,5,0.6,0.2,10,diverse,aggregation,0.802961607356625,,,0.6828980053710938
10,100000001,17,5,0.6,0.2,10,restricted_10,aggregation,0.802961607356625,,,0.6910571469888329
11,100000001,17,5,0.6,0.2,10,restricted_10,aggregation,0.802961607356625,,,0.6910571469888329
12,100000001,17,5,0.6,0.2,10,restricted_10,aggregation,0.802961607356625,,,0.6910571469888329
13,100000001,17,5,0.6,0.2,10,restricted_10,aggregation,0.802961607356625,,,0.6910571469888329
14,100000001,17,5,0.6,0.2,10,restricted_10,aggregation,0.802961607356625,,,0.6910571469888329
15,100000001,17,5,0.6,0.2,10,restricted_10,aggregation,0.802961607356625,,,0.6910571469888329
16,100000001,17,5,0.6,0.2,10,restricted_10,aggregation,0.802961607356625,,,0.6910571469888329
17,100000001,17,5,0.6,0.2,10,restricted_10,aggregation,0.802961607356625,,,0.6910571469888329
18,100000001,17,5,0.6,0.2,10,restricted_10,aggregation,0.802961607356625,,,0.6910571469888329
19,100000001,17,5,0.6,0.2,10,restricted_10,aggregation,0.802961607356625,,,0.6910571469888329
20,100000001,17,5,0.6,0.2,10,restricted_20,aggregation,0.8127846464524493,,,0.697596950076818
21,100000001,17,5,0.6,0.2,10,restricted_20,aggregation,0.8127846464524493,,,0.697596950076818
22,100000001,17,5,0.6,0.2,10,restricted_20,aggregation,0.8127846464524493,,,0.697596950076818
23,100000001,17,5,0.6,0.2,10,restricted_20,aggregation,0.8127846464524493,,,0.697596950076818
24,100000001,17,5,0.6,0.2,10,restricted_20,aggregation,0.8127846464524493,,,0.697596950076818
25,100000001,17,5,0.6,0.2,10,restricted_20,aggregation,0.8127846464524493,,,0.697596950076818
26,100000001,17,5,0.6,0.2,10,restricted_20,aggregation,0.8127846464524493,,,0.697596950076818
27,100000001,17,5,0.6,0.2,10,restricted_20,aggregation,0.8127846464524493,,,0.697596950076818
28,100000001,17,5,0.6,0.2,10,restricted_20,aggregation,0.8127846464524493,,,0.697596950076818
29,100000001,17,5,0.6,0.2,10,restricted_20,aggregation,0.8127846464524493,,,0.697596950076818
30,100000001,17,5,0.6,0.2,10,restricted_30,aggregation,0.8233171273772176,,,0.7037418030970346
31,100000001,17,5,0.6,0.2,10,restricted_30,aggregation,0.8233171273772176,,,0.7037418030970346
32,100000001,17,5,0.6,0.2,10,restricted_30,aggregation,0.8233171273772176,,,0.7037418030970346
33,100000001,17,5,0.6,0.2,10,restricted_30,aggregation,0.8233171273772176,,,0.7037418030970346
34,100000001,17,5,0.6,0.2,10,restricted_30,aggregation,0.8233171273772176,,,0.7037418030970346
35,100000001,17,5,0.6,0.2,10,restricted_30,aggregation,0.8233171273772176,,,0.7037418030970346
36,100000001,17,5,0.6,0.2,10,restricted_30,aggregation,0.8233171273772176,,,0.7037418030970346
37,100000001,17,5,0.6,0.2,10,restricted_30,aggregation,0.8233171273772176,,,0.7037418030970346
38,100000001,17,5,0.6,0.2,10,restricted_30,aggregation,0.8233171273772176,,,0.7037418030970346
39,100000001,17,5,0.6,0.2,10,restricted_30,aggregation,0.8233171273772176,,,0.7037418030970346
40,100000001,17,5,0.6,0.2,10,restricted_40,aggregation,0.8291465388772208,,,0.7098467317223953
41,100000001,17,5,0.6,0.2,10,restricted_40,aggregation,0.8291465388772208,,,0.7098467317223953
42,100000001,17,5,0.6,0.2,10,restricted_40,aggregation,0.8291465388772208,,,0.7098467317223953
43,100000001,17,5,0.6,0.2,10,restricted_40,aggregation,0.8291465388772208,,,0.7098467317223953
44,100000001,17,5,0.6,0.2,10,restricted_40,aggregation,0.8291465388772208,,,0.7098467317223953
45,100000001,17,5,0.6,0.2,10,restricted_40,aggregation,0.8291465388772208,,,0.7098467317223953
46,100000001,17,5,0.6,0.2,10,restricted_40,aggregation,0.8291465388772208,,,0.7098467317223953
47,100000001,17,5,0.6,0.2,10,restricted_40,aggregation,0.8291465388772208,,,0.7098467317223953
48,100000001,17,5,0.6,0.2,10,restricted_40,aggregation,0.8291465388772208,,,0.7098467317223953
49,100000001,17,5,0.6,0.2,10,restricted_40,aggregation,0.8291465388772208,,,0.7098467317223953
50,100000001,17,5,0.6,0.2,10,restricted_50,aggregation,0.8332834034118746,,,0.7161021319201321
51,100000001,17,5,0.6,0.2,10,restricted_50,aggregation,0.8332834034118746,,,0.7161021319201321
52,100000001,17,5,0.6,0.2,10,restricted_50,aggregation,0.8332834034118746,,,0.7161021319201321
53,100000001,17,5,0.6,0.2,10,restricted_50,aggregation,0.8332834034118746,,,0.7161021319201321
54,100000001,17,5,0.6,0.2,10,restricted_50,aggregation,0.8332834034118746,,,0.7161021319201321
55,100000001,17,5,0.6,0.2,10,restricted_50,aggregation,0.8332834034118746,,,0.7161021319201321
56,100000001,17,5,0.6,0.2,10,restricted_50,aggregation,0.8332834034118746,,,0.7161021319201321
57,100000001,17,5,0.6,0.2,10,restricted_50,aggregation,0.8332834034118746,,,0.7161021319201321
58,100000001,17,5,0.6,0.2,10,restricted_50,aggregation,0.8332834034118746,,,0.7161021319201321
59,100000001,17,5,0.6,0.2,10,restricted_50,aggregation,0.8332834034118746,,,0.7161021319201321
60,100000001,17,5,0.6,0.2,10,restricted_60,aggregation,0.8367190170048497,,,0.7228530142533736
61,100000001,17,5,0.6,0.2,10,restricted_60,aggregation,0.8367190170048497,,,0.7228530142533736
62,100000001,17,5,0.6,0.2,10,restricted_60,aggregation,0.8367190170048497,,,0.7228530142533736
63,100000001,17,5,0.6,0.2,10,restricted_60,aggregation,0.8367190170048497,,,0.7228530142533736
64,100000001,17,5,0.6,0.2,10,restricted_60,aggregation,0.8367190170048497,,,0.7228530142533736
65,100000001,17,5,0.6,0.2,10,restricted_60,aggregation,0.8367190170048497,,,0.7228530142533736
66,100000001,17,5,0.6,0.2,10,restricted_60,aggregation,0.8367190170048497,,,0.7228530142533736
67,100000001,17,5,0.6,0.2,10,restricted_60,aggregation,0.8367190170048497,,,0.7228530142533736
68,100000001,17,5,0.6,0.2,10,restricted_60,aggregation,0.8367190170048497,,,0.7228530142533736
69,100000001,17,5,0.6,0.2,10,restricted_60,aggregation,0.8367190170048497,,,0.7228530142533736
70,100000001,17,5,0.6,0.2,10,restricted_70,aggregation,0.8393349745999935,,,0.7303526681704258
71,100000001,17,5,0.6,0.2,10,restricted_70,aggregation,0.8393349745999935,,,0.7303526681704258
72,100000001,17,5,0.6,0.2,10,restricted_70,aggregation,0.8393349745999935,,,0.7303526681704258
73,100000001,17,5,0.6,0.2,10,restricted_70,aggregation,0.8393349745999935,,,0.7303526681704258
74,100000001,17,5,0.6,0.2,10,restricted_70,aggregation,0.8393349745999935,,,0.7303526681704258
75,100000001,17,5,0.6,0.2,10,restricted_70,aggregation,0.8393349745999935,,,0.7303526681704258
76,100000001,17,5,0.6,0.2,10,restricted_70,aggregation,0.8393349745999935,,,0.7303526681704258
77,100000001,17,5,0.6,0.2,10,restricted_70,aggregation,0.8393349745999935,,,0.7303526681704258
78,100000001,17,5,0.6,0.2,10,restricted_70,aggregation,0.8393349745999935,,,0.7303526681704258
79,100000001,17,5,0.6,0.2,10,restricted_70,aggregation,0.8393349745999935,,,0.7303526681704258
80,100000001,17,5,0.6,0.2,10,restricted_80,aggregation,0.8411374047518148,,,0.7394491842966896
81,100000001,17,5,0.6,0.2,10,restricted_80,aggregation,0.8411374047518148,,,0.7394491842966896
82,100000001,17,5,0.6,0.2,10,restricted_80,aggregation,0.8411374047518148,,,0.7394491842966896
83,100000001,17,5,0.6,0.2,10,restricted_80,aggregation,0.8411374047518148,,,0.7394491842966896
84,100000001,17,5,0.6,0.2,10,restricted_80,aggregation,0.8411374047518148,,,0.7394491842966896
85,100000001,17,5,0.6,0.2,10,restricted_80,aggregation,0.8411374047518148,,,0.7394491842966896
86,100000001,17,5,0.6,0.2,10,restricted_80,aggregation,0.8411374047518148,,,0.7394491842966896
87,100000001,17,5,0.6,0.2,10,restricted_80,aggregation,0.8411374047518148,,,0.7394491842966896
88,100000001,17,5,0.6,0.2,10,restricted_80,aggregation,0.8411374047518148,,,0.7394491842966896
89,100000001,17,5,0.6,0.2,10,restricted_80,aggregation,0.8411374047518148,,,0.7394491842966896
90,100000001,17,5,0.6,0.2,10,restricted_90,aggregation,0.8413047497648974,,,0.7521731533522598
91,100000001,17,5,0.6,0.2,10,restricted_90,aggregation,0.8413047497648974,,,0.7521731533522598
92,100000001,17,5,0.6,0.2,10,restricted_90,aggregation,0.8413047497648974,,,0.7521731533522598
93,100000001,17,5,0.6,0.2,10,restricted_90,aggregation,0.8413047497648974,,,0.7521731533522598
94,100000001,17,5,0.6,0.2,10,restricted_90,aggregation,0.8413047497648974,,,0.7521731533522598
95,100000001,17,5,0.6,0.2,10,restricted_90,aggregation,0.8413047497648974,,,0.7521731533522598
96,100000001,17,5,0.6,0.2,10,restricted_90,aggregation,0.8413047497648974,,,0.7521731533522598
97,100000001,17,5,0.6,0.2,10,restricted_90,aggregation,0.8413047497648974,,,0.7521731533522598
98,100000001,17,5,0.6,0.2,10,restricted_90,aggregation,0.8413047497648974,,,0.7521731533522598
99,100000001,17,5,0.6,0.2,10,restricted_90,aggregation,0.8413047497648974,,,0.7521731533522598
